"","date","time","test","negative","confirmed","released","deceased"
"1",2020-04-30,0,619881,600482,10765,9059,247
"2",2020-04-29,0,614197,595129,10761,8922,246
"3",2020-04-28,0,608514,588559,10752,8854,244
"4",2020-04-27,0,601660,582027,10738,8764,243
"5",2020-04-26,0,598285,578558,10728,8717,242
"6",2020-04-25,0,595161,575184,10718,8635,240
"7",2020-04-24,0,589520,569212,10708,8501,240
"8",2020-04-23,0,583971,563130,10702,8411,240
"9",2020-04-22,0,577959,555144,10694,8277,238
"10",2020-04-21,0,571014,547610,10683,8213,237
"11",2020-04-20,0,563035,540380,10674,8114,236
"12",2020-04-19,0,559109,536205,10661,8042,234
"13",2020-04-18,0,554834,530631,10653,7937,232
"14",2020-04-17,0,546463,521642,10635,7829,230
"15",2020-04-16,0,538775,513894,10613,7757,229
"16",2020-04-15,0,534552,508935,10591,7616,225
"17",2020-04-14,0,527438,502223,10564,7534,222
"18",2020-04-13,0,518743,494815,10537,7447,217
"19",2020-04-12,0,514621,490321,10512,7368,214
"20",2020-04-11,0,510479,485929,10480,7243,211
"21",2020-04-10,0,503051,477303,10450,7117,208
"22",2020-04-09,0,494711,468779,10423,6973,204
"23",2020-04-08,0,486003,457761,10384,6776,200
"24",2020-04-07,0,477304,446323,10331,6694,192
"25",2020-04-06,0,466804,437225,10284,6598,186
"26",2020-04-05,0,461233,431425,10237,6463,183
"27",2020-04-04,0,455032,424732,10156,6325,177
"28",2020-04-03,0,443273,414303,10062,6021,174
"29",2020-04-02,0,431743,403882,9976,5828,169
"30",2020-04-01,0,421547,395075,9887,5567,165
"31",2020-03-31,0,410564,383886,9786,5408,162
"32",2020-03-30,0,395194,372002,9661,5228,158
"33",2020-03-29,0,394141,369530,9583,5033,152
"34",2020-03-28,0,387925,361883,9478,4811,144
"35",2020-03-27,0,376961,352410,9332,4528,139
"36",2020-03-26,0,364942,341332,9241,4144,131
"37",2020-03-25,0,357896,334481,9137,3730,126
"38",2020-03-24,0,348582,324105,9037,3507,120
"39",2020-03-23,0,338036,315447,8961,3166,111
"40",2020-03-22,0,331780,308343,8897,2909,104
"41",2020-03-21,0,327509,303006,8799,2612,102
"42",2020-03-20,0,316664,292487,8652,2233,94
"43",2020-03-19,0,307024,282555,8565,1947,91
"44",2020-03-18,0,295647,270888,8413,1540,84
"45",2020-03-17,0,286716,261105,8320,1401,81
"46",2020-03-16,0,274504,251297,8236,1137,75
"47",2020-03-15,0,268212,243778,8126,834,75
"48",2020-03-14,0,261335,235615,8086,714,72
"49",2020-03-13,0,248647,222728,7979,510,67
"50",2020-03-12,0,234998,209402,7869,333,66
"51",2020-03-11,0,222395,196100,7755,288,60
"52",2020-03-10,0,210144,184179,7513,247,54
"53",2020-03-09,0,196618,171778,7382,166,51
"54",2020-03-08,0,188518,162008,7134,130,50
"55",2020-03-07,0,178189,151802,6767,118,44
"56",2020-03-06,0,164740,136624,6284,108,42
"57",2020-03-05,0,146541,118965,5766,88,35
"58",2020-03-04,0,136707,102965,5328,41,32
"59",2020-03-03,0,125851,85484,4812,34,28
"60",2020-03-02,0,109591,71580,4212,31,22
"61",2020-03-01,16,98921,61825,3736,30,18
"62",2020-02-29,16,94055,55723,3150,28,17
"63",2020-02-28,16,81167,48593,2337,27,13
"64",2020-02-27,16,66652,39318,1766,26,13
"65",2020-02-26,16,53553,31576,1261,24,12
"66",2020-02-25,16,40304,25447,977,24,12
"67",2020-02-24,16,32756,20292,833,24,8
"68",2020-02-23,16,26179,17520,602,18,6
"69",2020-02-22,16,21586,15116,433,18,2
"70",2020-02-21,16,16400,13016,204,17,2
"71",2020-02-20,16,13202,11238,104,16,1
"72",2020-02-19,16,11173,9973,51,16,0
"73",2020-02-18,16,9772,8923,31,12,0
"74",2020-02-17,16,8718,7980,30,10,0
"75",2020-02-16,16,8161,7647,29,9,0
"76",2020-02-15,16,7734,7148,28,9,0
"77",2020-02-14,16,7242,6679,28,7,0
"78",2020-02-13,16,6511,5921,28,7,0
"79",2020-02-12,16,5624,4811,28,7,0
"80",2020-02-11,16,4325,3535,28,4,0
"81",2020-02-10,16,3110,2552,27,4,0
"82",2020-02-09,16,2598,1683,27,3,0
"83",2020-02-08,16,2097,1134,24,2,0
"84",2020-02-07,16,1352,1001,24,2,0
"85",2020-02-06,16,885,693,23,2,0
"86",2020-02-05,16,714,522,18,1,0
"87",2020-02-04,16,607,462,16,0,0
"88",2020-02-03,16,490,414,15,0,0
"89",2020-02-02,16,429,327,15,0,0
"90",2020-02-01,16,371,289,12,0,0
"91",2020-01-31,16,312,245,11,0,0
"92",2020-01-30,16,246,199,6,0,0
"93",2020-01-29,16,187,155,4,0,0
"94",2020-01-28,16,116,97,4,0,0
"95",2020-01-27,16,61,56,4,0,0
"96",2020-01-26,16,51,47,3,0,0
"97",2020-01-25,16,27,25,2,0,0
"98",2020-01-24,16,27,25,2,0,0
"99",2020-01-23,16,22,21,1,0,0
"100",2020-01-22,16,4,3,1,0,0
"101",2020-01-21,16,1,0,1,0,0
"102",2020-01-20,16,1,0,1,0,0
